,file,class,method,constructor,line,cbo,cboModified,fanin,wmc,rfc,loc,hasJavaDoc
0,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtAuthenticationEntryPoint.java,nl.tudelft.sem.template.example.authentication.JwtAuthenticationEntryPoint,"commence/3[nl.tudelft.sem.template.example.authentication.HttpServletRequest,nl.tudelft.sem.template.example.authentication.HttpServletResponse,nl.tudelft.sem.template.example.authentication.AuthenticationException]",False,24,3,1,1,1,4,4,False
1,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\VotingModel.java,nl.tudelft.sem.template.commons.models.VotingModel,"VotingModel/4[int,nl.tudelft.sem.template.commons.models.VotingType,int,java.util.List<java.lang.String>]",True,19,1,2,2,1,0,6,False
2,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\exceptions\VoteOngoingException.java,nl.tudelft.sem.template.voting.exceptions.VoteOngoingException,VoteOngoingException/1[java.lang.String],True,5,0,1,1,1,0,3,False
3,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,setup/0,False,45,6,9,0,1,14,16,True
4,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,twoVotersTest/0,False,94,2,1,0,2,5,12,False
5,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,ineligibleTest/0,False,128,2,0,0,1,5,4,False
6,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,aggregateResultsTest/0,False,163,3,3,0,2,8,21,False
7,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,recastVoteTest/0,False,82,2,1,0,2,5,11,False
8,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,castSingleVoteTest/0,False,72,2,1,0,2,5,9,False
9,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,aggregateResultsTieTest/0,False,213,3,3,0,2,8,17,False
10,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,invalidIndexTest/0,False,121,2,0,0,1,7,5,False
11,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,voteClosedTest/0,False,134,7,9,0,1,18,17,False
12,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,aggregateResultsUnanimousVoteTest/0,False,189,3,3,0,2,8,19,False
13,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,twoVotersRecastVotesTest/0,False,107,2,1,0,2,5,13,False
14,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,withOptions/1[java.util.List<java.lang.String>],False,8,1,4,4,1,0,1,False
15,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,startInstantlyWithDuration/1[java.time.temporal.TemporalAmount],False,10,1,1,1,1,0,1,False
16,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,withResultsCollator/1[nl.tudelft.sem.template.voting.domain.ResultsCollator],False,12,2,0,0,1,0,1,False
17,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,build/0,False,14,1,4,4,1,0,1,False
18,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,forHoaWithId/1[int],False,7,1,1,1,1,0,1,False
19,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,withTimeKeeper/1[nl.tudelft.sem.template.voting.domain.TimeKeeper],False,9,2,3,3,1,0,1,False
20,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,withVoterEligibilityChecker/1[nl.tudelft.sem.template.voting.domain.VoterEligibilityChecker],False,11,2,2,2,1,0,1,False
21,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,withEligibleVoters/1[int],False,13,1,0,0,1,0,1,False
22,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\SimpleUserResponseModel.java,nl.tudelft.sem.template.commons.models.hoa.SimpleUserResponseModel,SimpleUserResponseModel/1[java.lang.String],True,10,0,1,1,1,0,3,False
23,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\AddressModel.java,nl.tudelft.sem.template.commons.models.hoa.AddressModel,anyNull/0,False,17,0,2,2,3,0,3,False
24,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\AddressModel.java,nl.tudelft.sem.template.commons.models.hoa.AddressModel,"AddressModel/2[java.lang.String,java.lang.String]",True,12,0,0,0,1,0,4,False
25,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\HoaService.java,nl.tudelft.sem.template.hoa.services.HoaService,HoaService/1[nl.tudelft.sem.template.hoa.repositories.HoaRepository],True,17,2,1,1,1,0,3,False
26,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\HoaService.java,nl.tudelft.sem.template.hoa.services.HoaService,getHoaById/1[int],False,35,2,11,10,2,1,5,False
27,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\HoaService.java,nl.tudelft.sem.template.hoa.services.HoaService,getAllHoas/0,False,31,2,6,5,1,1,3,True
28,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\HoaService.java,nl.tudelft.sem.template.hoa.services.HoaService,"getByNaturalId/3[java.lang.String,java.lang.String,java.lang.String]",False,46,2,6,5,1,1,3,False
