,file,class,type,cbo,cboModified,fanin,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,loc
0,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\IsInHoaByIdRequestModel.java,nl.tudelft.sem.template.commons.models.hoa.IsInHoaByIdRequestModel,class,3,4,1,0,1,0,0,0,,-1.0,-1.0,3
1,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtAuthenticationEntryPoint.java,nl.tudelft.sem.template.example.authentication.JwtAuthenticationEntryPoint,class,5,7,2,1,1,0,4,0,0.0,,,6
2,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\VotingModel.java,nl.tudelft.sem.template.commons.models.VotingModel,class,3,8,5,1,1,0,0,0,0.0,,,12
3,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\test\java\nl\tudelft\sem\template\voting\domain\VoteTest.java,nl.tudelft.sem.template.voting.domain.VoteTest,class,10,10,0,18,1,0,30,0,0.5568182,0.0,0.0,154
4,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\entities\notification\DeleteRequirementEvent.java,nl.tudelft.sem.template.commons.entities.notification.DeleteRequirementEvent,class,4,5,1,0,2,0,0,0,,-1.0,-1.0,6
5,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VoteBuilder.java,nl.tudelft.sem.template.voting.domain.VoteBuilder,interface,5,10,5,8,1,0,0,28,0.0,0.0,0.0,10
6,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\SimpleUserResponseModel.java,nl.tudelft.sem.template.commons.models.hoa.SimpleUserResponseModel,class,3,7,4,1,2,0,0,0,0.0,,,5
7,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\integration\PnbControllerTest.java,nl.tudelft.sem.template.hoa.integration.PnbControllerTest$Anonymous4,anonymous,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,2
8,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\AddressModel.java,nl.tudelft.sem.template.commons.models.hoa.AddressModel,class,2,7,5,4,1,3,0,0,0.0,0.0,0.0,11
9,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\integration\PnbControllerTest.java,nl.tudelft.sem.template.hoa.integration.PnbControllerTest$Anonymous3,anonymous,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,2
10,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\integration\PnbControllerTest.java,nl.tudelft.sem.template.hoa.integration.PnbControllerTest$Anonymous2,anonymous,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,2
